OTUID,Genus,Species,Katie's notes,Pete's notes,OTUID,NCBI_top_match,NCBI_percent_identity,Local_database_top_match,Local_database_percent_identity
ASV_537,,,,,ASV_537,Ophthalmotilapia nasuta,99.483,000085019_KM288947.1_Ophthalmotilapia_nasuta_,99.483
ASV_536,,,,,ASV_536,Cardiopharynx schoutedeni,97.933,000000010_U07243.1_Cardiopharynx_schoutedeni_,97.933
ASV_535,,,,,ASV_535,Cyathopharynx furcifer,97.933,000009381_AY337781.1_Cyathopharynx_furcifer_,97.933
ASV_532,Lamprologus ,ocellatus,only one ref; three ASVs,,ASV_532,Lamprologus ocellatus,99.225,000015942_EF462259.1_Lamprologus_ocellatus_,99.225
ASV_531,,,,,ASV_531,Lestradea perspicax,99.225,000009365_AY337765.1_Lestradea_perspicax_,99.225
ASV_530,,,,,ASV_530,Xenotilapia flavipinnis,98.966,000000033_U07269.1_Xenotilapia_flavipinnis_,98.966
ASV_53,,,,,ASV_53,Xenotilapia spiloptera,98.966,Xenotilapia_sp_spilopterus_north_LEA3,99.254
ASV_529,,,,,ASV_529,Cyathopharynx furcifer,97.674,000009381_AY337781.1_Cyathopharynx_furcifer_,97.674
ASV_528,,,,,ASV_528,Xenotilapia boulengeri,98.45,Xenotilapia_sima_LBE9,97.761
ASV_527,,,,,ASV_527,Cardiopharynx schoutedeni,95.866,000000010_U07243.1_Cardiopharynx_schoutedeni_,95.866
ASV_526,,,,,ASV_526,Grammatotria lemairii,96.899,Grammatotria_lemairii_JDD8,99.502
ASV_525,,,,,ASV_525,Xenotilapia leptura,96.124,Xenotilapia_sima_LBE9,96.517
ASV_524,,,,,ASV_524,Xenotilapia boulengeri,96.641,Xenotilapia_sima_LBE9,99.502
ASV_523,,,,,ASV_523,Oreochromis tanganicae,95.349,Oreochromis_tanganicae_JAC7,95
ASV_522,Neolamprologus,sp,"affiliated with longicaudatus and savoryi, but distinct clade of ASVs. It could be that there are no reference sequences of longicaudatus or savoryi from this part of the lake?  I am unfamiliar with the geographic distribution of these species",longicaudatus or savoryi,ASV_522,Neolamprologus multifasciatus,96.114,Neolamprologus_falcicula_JXD7,96.259
ASV_521,,,,,ASV_521,Limnotilapia dardennii,99.483,Limnotilapia_dardennii_AWI6,99.502
ASV_520,,,,,ASV_520,Haplochromis burtoni,95.5,Tropheus_moorii_JBH4,92.75
ASV_52,Oreochromis,sp,"distinct clade from most O. tanganicae sequences which have ASVs associated with them, so I'd guess this is a different Oreochromis species, and I'd be curious if it was associated with river inflow. There is one sequenced labeled O. malagarasi  these ASVs are closely associated with. There are three ASVs in the group. ",malagarasi,ASV_52,Oreochromis upembae,100,Oreochromis_malagarasi_KYH4,100
ASV_519,Neolamprologus,niger,"seven ASVs, one single genbank sequence",,ASV_519,Neolamprologus niger,99.225,000003989_AY740391.1_Neolamprologus_niger_,99.225
ASV_518,Lamprologus ,ocellatus,only one ref; three ASVs,,ASV_518,Lamprologus ocellatus,99.225,000015942_EF462259.1_Lamprologus_ocellatus_,99.225
ASV_517,Neolamprologus,sp,"affiliated with longicaudatus and savoryi, but distinct clade of ASVs. It could be that there are no reference sequences of longicaudatus or savoryi from this part of the lake?  I am unfamiliar with the geographic distribution of these species",longicaudatus or savoryi,ASV_517,Neolamprologus longicaudatus,96.382,Neolamprologus_longicaudatus_JWI3,96.517
ASV_516,,,,,ASV_516,Xenotilapia ochrogenys,96.641,Xenotilapia_sp_kilesa_Bel03,96.985
ASV_515,,,,,ASV_515,Petrochromis sp. 'Moshi',98.191,Petrochromis_sp_red_LCD5,97.015
ASV_514,,,,,ASV_514,Xenotilapia flavipinnis,99.225,000000033_U07269.1_Xenotilapia_flavipinnis_,99.225
ASV_513,,,,,ASV_513,Grammatotria lemairii,96.899,Grammatotria_lemairii_JDD8,99.005
ASV_512,,,,,ASV_512,Ophthalmotilapia ventralis,99.483,000000024_U07257.1_Ophthalmotilapia_ventralis_,99.483
ASV_511,Neolamprologus,sp,"affiliated with longicaudatus and savoryi, but distinct clade of ASVs. It could be that there are no reference sequences of longicaudatus or savoryi from this part of the lake?  I am unfamiliar with the geographic distribution of these species",longicaudatus or savoryi,ASV_511,Lepidiolamprologus kendalli,96.114,Neolamprologus_falcicula_JXD7,96.509
ASV_510,Unknown,sp,Cool potentially unknown species with affinity to Chalinochromis; clade of 9 ASVs with no ref among them,,ASV_510,Neolamprologus christyi,97.416,Neolamprologus_christyi_IZI8,97.512
ASV_51,Telmatochromis,sp,bifrenatus or temporalis,,ASV_51,Telmatochromis temporalis,100,Neolamprologus_chitamwebwai_KHA9,99.751
ASV_509,,,,,ASV_509,Lobochilotes labiatus,99.742,Lobochilotes_labiatus_ISE5,98.756
ASV_508,,,,,ASV_508,Grammatotria lemairii,97.158,Grammatotria_lemairii_JDD8,99.751
ASV_507,Altolamprologus,compressiceps,most likely but there is another compressiceps clade. Only one ref with this one,,ASV_507,Altolamprologus compressiceps,100,000026820_EF679237.1_Altolamprologus_compressiceps_,100
ASV_506,,,,,ASV_506,Petrochromis sp. 'Kazumbe',98.708,Petrochromis_sp_kazumbae_KEB4,98.756
ASV_505,Neolamprologus,similis,clear; three ASVs,,ASV_505,Neolamprologus similis,98.966,Neolamprologus_similis_KEC2,98.756
ASV_504,Neolamprologus,toae,clear; 4 ASVs,,ASV_504,Neolamprologus toae,99.483,Neolamprologus_toae_JZD6,100
ASV_503,Telmatochromis,sp,likely bifrenatus but could be temporalis,bifrenatus,ASV_503,Telmatochromis temporalis,99.225,Telmatochromis_bifrenatus_KYB8,100
ASV_502,,,,,ASV_502,Lobochilotes labiatus,99.225,Lobochilotes_labiatus_ISE5,98.507
ASV_501,Telmatochromis ,sp,"Big mess, multiple species, many ASVs",,ASV_501,Telmatochromis dhonti,99.483,000026848_EF679266.1_Telmatochromis_dhonti_,99.483
ASV_500,Neolamprologus,toae,clear; 4 ASVs,,ASV_500,Neolamprologus toae,99.483,Neolamprologus_toae_JZD6,99.502
ASV_50,,,,,ASV_50,Xenotilapia boulengeri,95.573,Xenotilapia_sp_kilesa_Bel03,98.507
ASV_5,,,,,ASV_5,Tropheus brichardi,99.742,Tropheus_sp_murago_LHD9,99.751
ASV_499,,,,,ASV_499,Tropheus brichardi,99.483,Tropheus_sp_murago_LHD9,99.502
ASV_498,Neolamprologus,brevis/calliurus,"cannot distinguish between brevis, calliurus and perhaps also speciosus, but speciosus is only one sequence. 5 ASVs. ",,ASV_498,Neolamprologus brevis,99.483,Neolamprologus_sp_brevis_magara_KCI6,99.502
ASV_497,,,,,ASV_497,Enantiopus melanogenys,96.382,Xenotilapia_sima_LBE9,96.517
ASV_496,,,,,ASV_496,Cardiopharynx schoutedeni,98.966,000000010_U07243.1_Cardiopharynx_schoutedeni_,98.966
ASV_495,,,,,ASV_495,Petrochromis sp. 'Moshi yellow',99.483,Petrochromis_sp_moshi_yellow_LCF8,98.259
ASV_494,Spathodus,sp,"Eretmodine clade. Unresolvable by species, likely due to hybridization",,ASV_494,Spathodus erythrodon,98.191,000005428_AF317267.1_Spathodus_erythrodon_,98.191
ASV_493,,,,,ASV_493,Grammatotria lemairii,97.158,Grammatotria_lemairii_JDD8,99.751
ASV_492,,,,,ASV_492,Xenotilapia sima,98.966,Xenotilapia_sima_LBE9,98
ASV_491,,,,,ASV_491,Grammatotria lemairii,98.191,Grammatotria_lemairii_JDD7,99.502
ASV_490,Spathodus,sp,"Eretmodine clade. Unresolvable by species, likely due to hybridization",,ASV_490,Spathodus erythrodon,99.742,000005428_AF317267.1_Spathodus_erythrodon_,99.742
ASV_49,,,,,ASV_49,Petrochromis trewavasae,97.761,Petrochromis_sp_polyodon_texas_LHB3,98.756
ASV_489,Unknown,sp,Cool potentially unknown species with affinity to Chalinochromis; clade of 9 ASVs with no ref among them,,ASV_489,Neolamprologus christyi,97.416,Neolamprologus_christyi_IZI8,97.512
ASV_488,,,,,ASV_488,Cardiopharynx schoutedeni,98.966,000000010_U07243.1_Cardiopharynx_schoutedeni_,98.966
ASV_487,,,,,ASV_487,Cardiopharynx schoutedeni,96.382,000000010_U07243.1_Cardiopharynx_schoutedeni_,96.382
ASV_486,Telmatochromis ,sp,"Big mess, multiple species, many ASVs",,ASV_486,Telmatochromis dhonti,99.742,000026848_EF679266.1_Telmatochromis_dhonti_,99.742
ASV_485,,,,,ASV_485,Limnotilapia dardennii,99.742,Limnotilapia_dardennii_AWI6,99.502
ASV_484,Telmatochromis ,sp,"Big mess, multiple species, many ASVs",,ASV_484,Neolamprologus savoryi,98.966,Telmatochromis_sp_dhonti_twiyu_LHC1,98.01
ASV_483,Tanganicodus,sp,"Eretmodine clade. Unresolvable by species, likely due to hybridization",,ASV_483,Eretmodus cyanostictus,97.674,Eretmodus_marksmithi_JXF4,97.761
ASV_482,,,,,ASV_482,Lobochilotes labiatus,99.742,Lobochilotes_labiatus_ISE5,98.756
ASV_481,,,,,ASV_481,Xenotilapia spiloptera,98.966,Xenotilapia_sp_spilopterus_north_LEA3,99.254
ASV_480,Altolamprologus,compressiceps,Clear; 2 ASVs. There was another clade with A compressiceps reference but this one contains two references and is sister to A. calvus so seems more legit,,ASV_480,Altolamprologus compressiceps,99.742,000014358_AF398229.1_Altolamprologus_compressiceps__000014372_EF191121.1_Altolamprologus_compressiceps_,99.742
ASV_48,Neolamprologus,brevis/calliurus,"cannot distinguish between brevis, calliurus and perhaps also speciosus, but speciosus is only one sequence. 5 ASVs. ",,ASV_48,Neolamprologus brevis,99.742,Neolamprologus_sp_brevis_magara_KCI6,99.751
ASV_479,,,,,ASV_479,Lobochilotes labiatus,99.742,Lobochilotes_labiatus_ISE5,98.756
ASV_478,Tanganicodus,sp,"Eretmodine clade. Unresolvable by species, likely due to hybridization",,ASV_478,Eretmodus cyanostictus,99.483,Eretmodus_marksmithi_JXF4,99.502
ASV_477,,,,,ASV_477,Haplochromis burtoni,96.02,Petrochromis_sp_giant_LDC6,96.766
ASV_476,,,,,ASV_476,Tropheus moorii,100,Tropheus_sp_mpimbwe_LDI7,99.002
ASV_475,Neolamprologus ,tetracanthus,unclear but best guess two ASVs,,ASV_475,Neolamprologus tetracanthus,100,Lepidiolamprologus_cunningtoni_IOH5,98.756
ASV_474,,,,,ASV_474,Tropheus brichardi,99.483,Tropheus_sp_murago_LHD9,99.502
ASV_473,Neolamprologus,walteri,There are nearly identical haplotypes also IDd by the Salzburger group as chitamwebwai (?); This is a clear clade including 6 ASVs,,ASV_473,Neolamprologus walteri,99.742,Neolamprologus_walteri_KFD4,100
ASV_472,,,,,ASV_472,Cyphotilapia frontosa,100,Cyphotilapia_frontosa_LEI9,100
ASV_471,,,,,ASV_471,Macrognathus pancalus,86.717,Neolamprologus_bifasciatus_LHF7,80.25
ASV_470,Tanganicodus,sp,"Eretmodine clade. Unresolvable by species, likely due to hybridization",,ASV_470,Eretmodus cyanostictus,98.45,Eretmodus_marksmithi_JXF4,98.507
ASV_47,,,,,ASV_47,Petrochromis sp. 'Moshi yellow',99.483,Petrochromis_sp_moshi_yellow_LCF8,99.751
ASV_469,,,,,ASV_469,Xenotilapia spiloptera,99.225,Xenotilapia_sp_spilopterus_north_LEA3,99.502
ASV_468,,,,,ASV_468,Potamothrissa obtusirostris,89.114,NO MATCH,NA
ASV_467,,,,,ASV_467,Aulonocranus dewindti,98.966,000084974_KM288908.1_Aulonocranus_dewindti_,98.966
ASV_466,,,,,ASV_466,Petrochromis sp. 'Moshi',99.483,Petrochromis_sp_red_LCD5,99.005
ASV_465,Lamprologus ,ocellatus,only one ref; three ASVs,,ASV_465,Lamprologus ocellatus,98.708,000015942_EF462259.1_Lamprologus_ocellatus_,98.708
ASV_464,,,,,ASV_464,Grammatotria lemairii,97.416,Grammatotria_lemairii_JDD8,100
ASV_463,,,,,ASV_463,Grammatotria lemairii,96.899,Grammatotria_lemairii_JDD8,99.005
ASV_462,,,,,ASV_462,Petrochromis cf. polyodon SK-2009,99.742,000028660_GQ995767.1_Petrochromis_cf._polyodon_SK-2009_,99.742
ASV_461,,,,,ASV_461,Limnotilapia dardennii,99.742,Limnotilapia_dardennii_AWI6,99.502
ASV_460,,,,,ASV_460,Petrochromis sp. 'Kazumbe',98.45,Petrochromis_sp_kazumbae_KEB4,98.507
ASV_46,,,,,ASV_46,Pundamilia nyererei,99.254,000001733_AY930073.1_Astatotilapia_sp._R185_,99.225
ASV_459,,,,,ASV_459,Xenotilapia spiloptera,98.708,Xenotilapia_sp_spilopterus_north_LEA3,99.005
ASV_458,,,,,ASV_458,Simochromis diagramma,99.483,Simochromis_diagramma_AUD8,98.507
ASV_457,Neolamprologus,similis,clear; three ASVs,,ASV_457,Neolamprologus similis,99.225,Neolamprologus_similis_KEC2,99.005
ASV_456,,,,,ASV_456,Petrochromis sp. 'Moshi',98.191,Petrochromis_sp_red_LCD5,97.264
ASV_455,,,,,ASV_455,Xenotilapia leptura,99.742,Asprotilapia_leptura_INF2,99.005
ASV_454,,,,,ASV_454,Xenotilapia boulengeri,96.124,Xenotilapia_nigrolabiata_IZC7,99.502
ASV_453,,,,,ASV_453,Tylochromis polylepis,100,000022046_AP009509.1_Tylochromis_polylepis_,100
ASV_452,Neolamprologus,mondabu,clear clade with 14 ASVs; one genbank ref of mondabu,,ASV_452,Neolamprologus mondabu,99.742,000015925_EF462241.1_Neolamprologus_mondabu__000015926_EF462242.1_Neolamprologus_mondabu_,99.742
ASV_451,Unknown,sp,Cool potentially unknown species with affinity to Chalinochromis; clade of 9 ASVs with no ref among them,,ASV_451,Neolamprologus christyi,97.158,Neolamprologus_christyi_IZI8,97.264
ASV_450,,,,,ASV_450,Limnotilapia dardennii,100,Limnotilapia_dardennii_AWI6,99.502
ASV_45,,,,,ASV_45,Petrochromis sp. 'Kazumbe',98.708,Petrochromis_sp_kazumbae_KEB4,98.756
ASV_449,,,,,ASV_449,Grammatotria lemairii,96.899,Grammatotria_lemairii_JDD8,99.005
ASV_448,,,,,ASV_448,Grammatotria lemairii,96.899,Grammatotria_lemairii_JDD8,99.005
ASV_447,,,,,ASV_447,Petrochromis sp. 'Moshi yellow',99.225,Petrochromis_sp_moshi_yellow_LCF8,99.254
ASV_446,Neolamprologus,mondabu,clear clade with 14 ASVs; one genbank ref of mondabu,,ASV_446,Neolamprologus mondabu,99.742,000015925_EF462241.1_Neolamprologus_mondabu__000015926_EF462242.1_Neolamprologus_mondabu_,99.742
ASV_445,,,,,ASV_445,Petrochromis sp. 'Kazumbe',99.742,Petrochromis_sp_kazumbae_KEB4,99.751
ASV_444,,,,,ASV_444,Ophthalmotilapia ventralis,99.742,000000024_U07257.1_Ophthalmotilapia_ventralis_,99.742
ASV_443,,,,,ASV_443,Limnotilapia dardennii,99.742,Limnotilapia_dardennii_AWI6,99.502
ASV_442,Neolamprologus,mondabu,clear clade with 14 ASVs; one genbank ref of mondabu,,ASV_442,Neolamprologus mondabu,99.742,000015925_EF462241.1_Neolamprologus_mondabu__000015926_EF462242.1_Neolamprologus_mondabu_,99.742
ASV_441,,,,,ASV_441,Xenotilapia spiloptera,98.966,Xenotilapia_sp_spilopterus_north_LEA3,99.254
ASV_440,,,,,ASV_440,Serranochromis macrocephalus,94.527,Limnochromis_staneri_ITC2,95.025
ASV_44,Neolamprologus,brichardi,clear; 7 ASVs,,ASV_44,Neolamprologus brichardi,100,000026833_EF679251.1_Neolamprologus_brichardi_,100
ASV_439,,,,,ASV_439,Cyathopharynx furcifer,97.674,000009381_AY337781.1_Cyathopharynx_furcifer_,97.674
ASV_438,,,,,ASV_438,Petrochromis sp. 'Kazumbe',99.742,Petrochromis_sp_kazumbae_KEB4,99.751
ASV_437,,,,,ASV_437,Simochromis diagramma,99.742,Simochromis_diagramma_AUD8,98.756
ASV_436,,,,,ASV_436,Grammatotria lemairii,96.899,Grammatotria_lemairii_JDD8,99.005
ASV_435,,,,,ASV_435,Petrochromis sp. 'Moshi',99.483,Petrochromis_sp_red_LCD5,99.005
ASV_434,,,,,ASV_434,Ophthalmotilapia ventralis,98.191,000009374_AY337774.1_Ophthalmotilapia_ventralis_,98.191
ASV_433,,,,,ASV_433,Limnotilapia dardennii,99.225,Limnotilapia_dardennii_AWI6,99.254
ASV_432,Telmatochromis ,sp,"Big mess, multiple species, many ASVs",,ASV_432,Telmatochromis dhonti,99.483,Telmatochromis_sp_dhonti_twiyu_LHC1,98.507
ASV_431,,,,,ASV_431,Grammatotria lemairii,97.158,Grammatotria_lemairii_JDD8,99.254
ASV_430,,,,,ASV_430,Cardiopharynx schoutedeni,99.483,000000010_U07243.1_Cardiopharynx_schoutedeni_,99.483
ASV_43,Boulengerochromis,microlepis,no species ambiguity; three ASVs,,ASV_43,Boulengerochromis microlepis,100,000026818_EF679235.1_Boulengerochromis_microlepis_,100
ASV_428,Tanganicodus,sp,"Eretmodine clade. Unresolvable by species, likely due to hybridization",,ASV_428,Eretmodus cyanostictus,99.483,Eretmodus_marksmithi_JXF4,99.502
ASV_427,,,,,ASV_427,Limnotilapia dardennii,99.225,Limnotilapia_dardennii_AWI6,99.254
ASV_426,,,,,ASV_426,Grammatotria lemairii,96.899,Grammatotria_lemairii_JDD8,99.005
ASV_425,Neolamprologus,furcifer,clear clade with 4 ASVs and two genbank refs,,ASV_425,Neolamprologus furcifer,99.742,000015933_EF462249.1_Neolamprologus_furcifer__000026834_EF679252.1_Neolamprologus_furcifer__000076558_KJ187231.1_Neolamprologus_furcifer__000076559_KJ187232.1_Neolamprologus_furcifer__000076567_KJ187241.1_Neolamprologus_furcifer__000076568_KJ187242.1_Neolamprologus_furcifer_,99.742
ASV_424,Lamprologus,callipterus,Clear; 12 ASVs,,ASV_424,Lamprologus callipterus,99.742,Neolamprologus_cancellatus_LJD1,99.502
ASV_423,Neolamprologus,mondabu,clear clade with 14 ASVs; one genbank ref of mondabu,,ASV_423,Neolamprologus mondabu,99.742,000015925_EF462241.1_Neolamprologus_mondabu__000015926_EF462242.1_Neolamprologus_mondabu_,99.742
ASV_422,,,,,ASV_422,Lobochilotes labiatus,99.483,Lobochilotes_labiatus_ISE5,98.756
ASV_421,,,,,ASV_421,Petrochromis sp. 'Kazumbe',99.483,Petrochromis_sp_kazumbae_KEB4,99.502
ASV_420,Lepidiolamprologus ,sp,"Clade of several Lepidiolamprologus species -- elongatus, profudicola, attenuatus...and also some Neolamprologus species. I don't know what's going on but it seems like a mess. 10 ASVs in this group. ",,ASV_420,Lepidiolamprologus profundicola,99.742,000033255_HM623830.1_Lepidiolamprologus_profundicola_,99.742
ASV_42,,,,,ASV_42,Petrochromis sp. 'Moshi yellow',99.742,Petrochromis_sp_moshi_yellow_LCF8,98.507
ASV_419,,,,,ASV_419,Cardiopharynx schoutedeni,96.124,000000010_U07243.1_Cardiopharynx_schoutedeni_,96.124
ASV_418,,,,,ASV_418,Cyprichromis pavo,98.45,Cyprichromis_pavo_JEB4,98.507
ASV_417,,,,,ASV_417,Simochromis diagramma,99.742,Simochromis_diagramma_AUD8,98.756
ASV_416,,,,,ASV_416,Simochromis diagramma,99.742,Simochromis_diagramma_AUD8,98.756
ASV_415,,,,,ASV_415,Lepidiolamprologus kendalli,99.742,000015952_EF462269.1_Lepidiolamprologus_kendalli_,99.742
ASV_414,,,,,ASV_414,Xenotilapia flavipinnis,98.966,000009394_AY337794.1_Xenotilapia_flavipinnis_,98.966
ASV_413,Telmatochromis ,sp,"Big mess, multiple species, many ASVs",,ASV_413,Telmatochromis brichardi,99.225,000026848_EF679266.1_Telmatochromis_dhonti_,99.225
ASV_412,Neolamprologus,sp,"affiliated with longicaudatus and savoryi, but distinct clade of ASVs. It could be that there are no reference sequences of longicaudatus or savoryi from this part of the lake?  I am unfamiliar with the geographic distribution of these species",longicaudatus or savoryi,ASV_412,Lepidiolamprologus kendalli,95.855,Neolamprologus_falcicula_JXD7,96.259
ASV_411,,,,,ASV_411,Callochromis macrops,99.483,Callochromis_melanostigma_KAF4,99.502
ASV_410,,,,,ASV_410,Cardiopharynx schoutedeni,95.607,000000010_U07243.1_Cardiopharynx_schoutedeni_,95.607
ASV_41,,,,,ASV_41,Cichlidae environmental sample,100,Limnotilapia_dardennii_AWI5,100
ASV_409,,,,,ASV_409,Pseudosimochromis babaulti,99.742,000001747_AY930087.1_Simochromis_diagramma_,99.742
ASV_408,,,,,ASV_408,Callochromis macrops,97.416,Callochromis_macrops_BND3,98.259
ASV_407,,,,,ASV_407,Cyathopharynx furcifer,98.966,000009381_AY337781.1_Cyathopharynx_furcifer_,98.966
ASV_406,,,,,ASV_406,Xenotilapia spiloptera,98.966,Xenotilapia_sp_spilopterus_north_LEA3,99.254
ASV_405,,,,,ASV_405,Xenotilapia flavipinnis,98.966,000000033_U07269.1_Xenotilapia_flavipinnis_,98.966
ASV_404,Lepidiolamprologus ,sp,"Clade of several Lepidiolamprologus species -- elongatus, profudicola, attenuatus...and also some Neolamprologus species. I don't know what's going on but it seems like a mess. 10 ASVs in this group. ",,ASV_404,Lepidiolamprologus profundicola,99.742,Neolamprologus_cancellatus_LJD1,98.507
ASV_403,,,,,ASV_403,Petrochromis cf. polyodon SK-2009,99.483,Petrochromis_sp_moshi_yellow_LCF8,98.507
ASV_402,,,,,ASV_402,Xenotilapia spiloptera,98.966,Xenotilapia_sp_spilopterus_north_LEA3,99.254
ASV_401,Spathodus,sp,"Eretmodine clade. Unresolvable by species, likely due to hybridization",,ASV_401,Spathodus marlieri,97.158,Spathodus_erythrodon_JUB7,97.257
ASV_400,Lamprologus,callipterus,Clear; 12 ASVs,,ASV_400,Lamprologus callipterus,98.708,Lamprologus_callipterus_JAB1,98.259
ASV_40,,,,,ASV_40,Ctenochromis horei,100,Ctenochromis_horei_AXA7,100
ASV_4,,,,,ASV_4,Simochromis diagramma,100,Simochromis_diagramma_AUD8,99.005
ASV_399,,,,,ASV_399,Lestradea perspicax,97.158,000009365_AY337765.1_Lestradea_perspicax_,97.158
ASV_398,,,,,ASV_398,Cyathopharynx furcifer,99.225,000009381_AY337781.1_Cyathopharynx_furcifer_,99.225
ASV_397,Telmatochromis ,sp,"Big mess, multiple species, many ASVs",,ASV_397,Telmatochromis brichardi,99.225,000026848_EF679266.1_Telmatochromis_dhonti_,99.225
ASV_396,,,,,ASV_396,Lepidiolamprologus attenuatus,100,000015956_EF462273.1_Lepidiolamprologus_attenuatus__000015957_EF462274.1_Lepidiolamprologus_attenuatus_,100
ASV_395,Unknown,sp,Cool potentially unknown species with affinity to Chalinochromis; clade of 9 ASVs with no ref among them,,ASV_395,Neolamprologus christyi,96.382,Neolamprologus_christyi_IZI8,96.517
ASV_394,Neolamprologus,walteri,There are nearly identical haplotypes also IDd by the Salzburger group as chitamwebwai (?); This is a clear clade including 6 ASVs,,ASV_394,Neolamprologus walteri,99.742,Neolamprologus_chitamwebwai_KHA9,99.751
ASV_393,,,,,ASV_393,Grammatotria lemairii,97.933,Grammatotria_lemairii_JDD7,99.502
ASV_392,Oreochromis,tanganicae,clearly distinct clade with 7 ASVs,,ASV_392,Oreochromis tanganicae,99.742,Oreochromis_tanganicae_JAC7,99.751
ASV_391,Spathodus,sp,"Eretmodine clade. Unresolvable by species, likely due to hybridization",,ASV_391,Spathodus erythrodon,96.641,000005428_AF317267.1_Spathodus_erythrodon_,96.641
ASV_390,,,,,ASV_390,Petrochromis cf. macrognathus SK-2009,99.742,Petrochromis_sp_moshi_yellow_LCF8,98.756
ASV_39,,,,,ASV_39,Tropheus polli,100,Tropheus_polli_LEF9,99.751
ASV_389,,,,,ASV_389,Cardiopharynx schoutedeni,98.191,000000010_U07243.1_Cardiopharynx_schoutedeni_,98.191
ASV_388,,,,,ASV_388,Petrochromis sp. 'Moshi yellow',99.742,Petrochromis_sp_moshi_yellow_LCF8,99.502
ASV_387,,,,,ASV_387,Simochromis diagramma,99.742,Simochromis_diagramma_AUD8,98.756
ASV_386,,,,,ASV_386,Petrochromis sp. 'Moshi',99.742,Petrochromis_sp_red_LCD5,98.756
ASV_385,,,,,ASV_385,Grammatotria lemairii,96.899,Grammatotria_lemairii_JDD8,99.005
ASV_384,,,,,ASV_384,Limnotilapia dardennii,99.483,Limnotilapia_dardennii_AWI6,99.502
ASV_383,,,,,ASV_383,Grammatotria lemairii,97.933,Grammatotria_lemairii_JDD7,100
ASV_382,Neolamprologus,brichardi,clear; 7 ASVs,,ASV_382,Neolamprologus brichardi,99.225,Neolamprologus_brichardi_JUI1,98.259
ASV_381,,,,,ASV_381,Mastacembelus erythrotaenia,88.191,Neolamprologus_sexfasciatus_IND8,77.307
ASV_380,,,,,ASV_380,Grammatotria lemairii,97.933,Grammatotria_lemairii_JDD7,99.502
ASV_38,,,,,ASV_38,Lobochilotes labiatus,99.742,Lobochilotes_labiatus_ISE5,99.254
ASV_379,,,,,ASV_379,Cyprichromis cf. leptosoma 'jumbo tricolor',98.45,Cyprichromis_pavo_JEB4,98.01
ASV_378,Unknown,sp,Cool potentially unknown species with affinity to Chalinochromis; clade of 9 ASVs with no ref among them,,ASV_378,Neolamprologus christyi,97.158,Neolamprologus_christyi_IZI8,97.264
ASV_377,Neolamprologus,toae,clear; 4 ASVs,,ASV_377,Neolamprologus toae,99.742,Neolamprologus_toae_JZD6,99.751
ASV_376,,,,,ASV_376,Petrochromis sp. 'Moshi yellow',99.742,Petrochromis_sp_moshi_yellow_LCF8,98.507
ASV_375,,,,,ASV_375,Petrochromis sp. 'Kazumbe',99.742,Petrochromis_sp_kazumbae_KEB4,99.751
ASV_374,Telmatochromis ,sp,"Big mess, multiple species, many ASVs",,ASV_374,Telmatochromis brichardi,99.225,000026848_EF679266.1_Telmatochromis_dhonti_,99.225
ASV_373,,,,,ASV_373,Chalinochromis brichardi,99.742,Chalinochromis_sp_ndobhoi_KEF1,99.502
ASV_372,Neolamprologus,brevis/calliurus,"cannot distinguish between brevis, calliurus and perhaps also speciosus, but speciosus is only one sequence. 5 ASVs. ",,ASV_372,Neolamprologus fasciatus x Neolamprologus calliurus;Lamprologus callipterus x Neolamprologus calliurus,100,Neolamprologus_calliurus_ILA7,100
ASV_371,,,,,ASV_371,Cardiopharynx schoutedeni,95.866,000000010_U07243.1_Cardiopharynx_schoutedeni_,95.866
ASV_370,,,,,ASV_370,Tropheus brichardi,99.742,Tropheus_sp_murago_LHD9,99.751
ASV_37,Neolamprologus,furcifer,clear clade with 4 ASVs and two genbank refs,,ASV_37,Neolamprologus furcifer,100,000015933_EF462249.1_Neolamprologus_furcifer__000026834_EF679252.1_Neolamprologus_furcifer__000076558_KJ187231.1_Neolamprologus_furcifer__000076559_KJ187232.1_Neolamprologus_furcifer__000076567_KJ187241.1_Neolamprologus_furcifer__000076568_KJ187242.1_Neolamprologus_furcifer_,100
ASV_369,Telmatochromis ,sp,"Big mess, multiple species, many ASVs",,ASV_369,Telmatochromis brichardi,98.966,000026848_EF679266.1_Telmatochromis_dhonti_,98.966
ASV_368,,,,,ASV_368,Cardiopharynx schoutedeni,98.45,000000010_U07243.1_Cardiopharynx_schoutedeni_,98.45
ASV_367,,,,,ASV_367,Petrochromis sp. 'Moshi',100,Petrochromis_sp_red_LCD5,98.756
ASV_366,,,,,ASV_366,Enantiopus melanogenys,98.45,000003839_AY682517.1_Xenotilapia_melanogenys_,98.45
ASV_365,,,,,ASV_365,Petrochromis sp. 'Moshi yellow',99.483,Petrochromis_sp_moshi_yellow_LCF8,99.751
ASV_364,Telmatochromis ,sp,"Big mess, multiple species, many ASVs",,ASV_364,Telmatochromis dhonti,99.742,000026848_EF679266.1_Telmatochromis_dhonti_,99.742
ASV_363,,,,,ASV_363,Cheilochromis euchilus,95.511,Petrochromis_sp_giant_LDC6,96.517
ASV_362,,,,,ASV_362,Cardiopharynx schoutedeni,96.124,000000010_U07243.1_Cardiopharynx_schoutedeni_,96.124
